id,nombre,created_at
1,16 De Noviembre,2026-03-30 21:42:39.842318
2,Alberdi,2026-03-30 21:42:39.842318
3,Alta Cordoba,2026-03-30 21:42:39.842318
4,Alto Alberdi,2026-03-30 21:42:39.842318
5,Alto General Paz,2026-03-30 21:42:39.842318
6,Alto Verde,2026-03-30 21:42:39.842318
7,Ameghino Norte,2026-03-30 21:42:39.842318
8,Ameghino Sud,2026-03-30 21:42:39.842318
9,Ameghino Sur,2026-03-30 21:42:39.842318
10,Arguello,2026-03-30 21:42:39.842318
11,Bajo Galan,2026-03-30 21:42:39.842318
12,Centro,2026-03-30 21:42:39.842318
13,Cerro De Las Rosas,2026-03-30 21:42:39.842318
14,Cofico,2026-03-30 21:42:39.842318
15,Colinas V. Sarsfield,2026-03-30 21:42:39.842318
16,Colon,2026-03-30 21:42:39.842318
17,Crisol Norte,2026-03-30 21:42:39.842318
18,Dean Funes,2026-03-30 21:42:39.842318
19,Don Bosco,2026-03-30 21:42:39.842318
20,Ducasse,2026-03-30 21:42:39.842318
21,Ejercito Argentino,2026-03-30 21:42:39.842318
22,Escobar,2026-03-30 21:42:39.842318
23,Ferrer,2026-03-30 21:42:39.842318
24,General Paz,2026-03-30 21:42:39.842318
25,Güemes,2026-03-30 21:42:39.842318
26,Ipona,2026-03-30 21:42:39.842318
27,Jardin Del Pilar,2026-03-30 21:42:39.842318
28,Jose Hernandez,2026-03-30 21:42:39.842318
29,Jose Ignacio Diaz 4Ta,2026-03-30 21:42:39.842318
30,Juniors,2026-03-30 21:42:39.842318
31,Lamadrid,2026-03-30 21:42:39.842318
32,Liceo 1Ra,2026-03-30 21:42:39.842318
33,Lomas Del Suquia,2026-03-30 21:42:39.842318
34,Los Boulevares,2026-03-30 21:42:39.842318
35,Los Naranjos,2026-03-30 21:42:39.842318
36,Mafekin,2026-03-30 21:42:39.842318
37,Maipu Ii,2026-03-30 21:42:39.842318
38,Marques De Sobremonte,2026-03-30 21:42:39.842318
39,Matienzo,2026-03-30 21:42:39.842318
40,Maurizzi,2026-03-30 21:42:39.842318
41,Mendiolaza,2026-03-30 21:42:39.842318
42,Nueva Cordoba,2026-03-30 21:42:39.842318
43,Observatorio,2026-03-30 21:42:39.842318
44,Parque Atlantica,2026-03-30 21:42:39.842318
45,Parque Velez Sarsfield,2026-03-30 21:42:39.842318
46,Paso De Los Andes,2026-03-30 21:42:39.842318
47,Patria,2026-03-30 21:42:39.842318
48,Poeta Lugones,2026-03-30 21:42:39.842318
49,Puente Blanco,2026-03-30 21:42:39.842318
50,Pueyrredon,2026-03-30 21:42:39.842318
51,Residencial Los Robles,2026-03-30 21:42:39.842318
52,Residencial Oeste,2026-03-30 21:42:39.842318
53,Rucci,2026-03-30 21:42:39.842318
54,San Carlos,2026-03-30 21:42:39.842318
55,San Felipe,2026-03-30 21:42:39.842318
56,San Fernando,2026-03-30 21:42:39.842318
57,San Martin,2026-03-30 21:42:39.842318
58,San Pablo,2026-03-30 21:42:39.842318
59,San Rafael,2026-03-30 21:42:39.842318
60,San Salvador,2026-03-30 21:42:39.842318
61,San Vicente,2026-03-30 21:42:39.842318
62,Santa Isabel 2Da,2026-03-30 21:42:39.842318
63,Talleres Oeste,2026-03-30 21:42:39.842318
64,Tanti,2026-03-30 21:42:39.842318
65,Urca,2026-03-30 21:42:39.842318
66,Villa Allende,2026-03-30 21:42:39.842318
67,Villa Argentina,2026-03-30 21:42:39.842318
68,Villa El Libertador,2026-03-30 21:42:39.842318
69,Villa Marta,2026-03-30 21:42:39.842318
70,Yapeyu,2026-03-30 21:42:39.842318
71,Zumaran,2026-03-30 21:42:39.842318
72,Otros,2026-03-30 21:42:39.842318
73,Jardin Espinoza,2026-03-30 22:11:12.294744
