id,tipologia,operacion,direccion,barrio,ambientes,dormitorios,descripcion,apto_banco,precio,cod_zp,cod_lvi,link_interno,requisitos,imagen
1,departamento,alquiler,Martin Garcia 712 Piso 7 Dpto C,san martin,3,2,,0,386000,57567523,5565868,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
2,departamento,alquiler,Martin Garcia 564 Piso 3º Dpto A,san martin,4,3,,0,475000,57567524,5565869,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
3,departamento,alquiler,Soldado Ruiz 938 Piso 2º Dpto. B,san martin,3,2,,0,376000,57567525,5565870,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
4,casa,venta,Rafael de Igarzabal 851,Parque Vélez Sársfield,16,7,SALOMON INMOBILIARIA OFRECE EN VENTA: Una imponente casa de 7 dor 1,1955000,187000,57840976,5560693,https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-de-categoria-de-7-dorm.-en-parque-velez-sarfield.-57840976.html?n_src=Listado&n_pg=2&n_pos=2,,
8,departamento,alquiler,Antártida 3493 Dpto 1,matienzo,3,2,,0,418000,57567530,5565875,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
10,departamento,alquiler,Aaron Castellanos 2707,matienzo,3,2,,0,353000,57567532,5565877,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
12,departamento,alquiler,Antartida 3499 Dpto 3,matienzo,2,1,,0,299000,57567534,5565879,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
14,departamento,alquiler,Antártida 3497 Dpto 2,matienzo,4,3,,0,489000,57567536,5565881,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
19,departamento,alquiler,Belgrano 1269 Dpto.2,guemes,2,1,,0,279000,57567541,5565886,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
20,local,alquiler,De los Alemanes 4120,Los boulevares,2,,,0,633000,57567542,5565887,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
21,casa,alquiler,Luis Lagos García 931,URCA,8,4,"SALOMON INMOBILIARIA OFRECE EN ALQUILER UNA CASA UBICADA EN LUIS LAGOS GARCIA 931 , BARRIO URCA. CARACTERISTICAS: - 4 DORMITORIOS - LIVIN...URCA",1,1500000,58389364,,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,,
22,oficina,alquiler,Caseros 651 P.B. Oficina E,centro,,,,0,378000,57567544,5565889,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
23,casa,alquiler,Uritorco 4124 esq Fournier 4124,Ameghino Sud,6,4,,0,950000,57567545,5565890,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
26,departamento,alquiler,Colombres 2048 Piso 1º  A Cuerpo II,San Martin,3,2,,0,401000,57567548,5565893,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
27,casa,alquiler,Aaron Castellano 2889,Matienzo,2,1,,0,451000,57567549,5565894,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
28,departamento,alquiler,Olmos 20 Piso 12 Dpto G,Centro,4,3,,0,431000,57567550,5565895,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
29,departamento,alquiler,M.T de Alvear 360 Piso 7 Dto A,Guemes,4,3,,0,483000,57567551,5565896,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
30,departamento,alquiler,Chubut 20 Piso 3 Dpto 69 Torre II,Alberdi,1,1,,0,208000,57567552,5565897,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
31,departamento,alquiler,Dean Funes 353 Piso 6 Dpto 609,Centro,2,1,,0,297000,57567553,5565898,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
32,casa,alquiler,Alberto J. Agostini 358,Don Bosco,4,3,,0,539000,57567554,5565899,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
33,oficina,alquiler,Caseros 651 PB Oficina D,Centro,,,,0,325000,57567555,5565900,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
34,casa,alquiler,Francisco J. Sotomayor 3780,San Felipe,4,3,,0,540000,57567556,5565901,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
36,departamento,alquiler,Corrientes 463 Piso 2 Dpto A,Centro,2,1,,0,336000,57567558,5565903,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
37,departamento,alquiler,Los Granaderos 2185 PB Dpto 2,San Martin,3,2,,0,403000,57567559,5565904,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
38,departamento,alquiler,Fructuoso Rivera 1030,Observatorio,3,2,,0,351000,57567560,5565905,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
39,departamento,alquiler,24 de Septiembre 2532 Piso 1 Dpto B,Alto General Paz,2,1,,0,314000,57567561,5565906,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
40,departamento,alquiler,Rosario de Santa Fe 1535 Piso 3 Dpto C,General Paz,2,1,,0,284000,57567562,5565907,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
41,departamento,alquiler,Av. 24 de Septiembre 2532,Yapeyú,4,1,SALOMÓN INMOBILIARIA te trae esta excelente oportunidad en alquiler Av. 24 de Septiembre 2532 – Barrio Alto General Paz Características d...Yapeyú,1,410000,58715849,,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,,
42,departamento,alquiler,Olmos 20 Piso 9 Dpto G,Centro,5,4,,0,553000,57567564,5565909,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
43,departamento,alquiler,9 de Julio 1506 Piso 2º Dpto A,Alberdi,3,2,,0,394000,57567565,5565910,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
44,departamento,alquiler,"Pringles Nº 372  Planta Baja ""D""",General Paz,3,2,,0,399000,57567566,5565911,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
45,departamento,alquiler,La Rioja 2294 Piso 1 Dpto 13,Alberdi,3,2,"✨ ¡Oportunidad imperdible en Barrio Alberdi! ✨

Salomón Inmobiliaria te presenta este cómodo y funcional monoambiente ideal para vivir o invertir 🏡💼
📍 Calle La Rioja 2294 – Barrio Alberdi

🔹 Características:

🏢 Ubicado en 1° piso
🌞 Ambiente amplio, cómodo y muy luminoso
🍳 Cocina separada, equipada con anafe y termotanque
🚿 Baño completo

💰 Precio: $250.000
📊 Ajuste trimestral según IPC
🏢 Expensas: $30.000
🧾 Impuestos súper bajos

📲 Consultá requisitos por WhatsApp y coordiná tu visita
🔥 ¡No dejes pasar esta excelente oportunidad!",0,250000,57567528,5565912,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,"Opción 1) Una garantía propietaria + un recibo de sueldo superior a $1.000.000
Opción 2) Cuatro recibos de sueldo superiores a $1.000.000. Pueden ser menos recibos dependiendo los montos.
No se aceptan garantías compradas ni monotributos, pero si se aceptan jubilaciones.",
46,departamento,alquiler,9 de Julio 1506 Piso 1º Dpto C,Alberdi,3,2,,0,385000,57567568,5565913,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
47,local,alquiler,Hipolito Irigoyen 185 PH 2,Nueva Cordoba,,,,0,426000,57567569,5565914,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
48,local,alquiler,Los Granaderos 2185 Local 2,San Martin,,,,0,683000,57567570,5565915,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
49,departamento,alquiler,9 de Julio 1506 Piso 2 Dpto B,Alberdi,3,2,,0,375000,57567571,5565916,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
50,local,alquiler,Los Granaderos 2185 Local 1,San Martin,,,,0,320000,57567572,5565917,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
51,casa,alquiler,Mahatma Gandhi 167,Don Bosco,3,2,,0,575000,57567573,5565918,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
52,local,alquiler,Julio Argentino Roca 331,Guemes,,,,0,437000,57567574,5565919,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
53,casa,alquiler,Potrerillos 285 Casa 210,Lomas del Suquia,3,2,,0,462000,57567575,5565920,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
54,casa,alquiler,Jose Orzali 7165,Don Bosco,6,4,,0,775000,57567576,5565921,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
55,departamento,alquiler,Duarte Quiros Nº 1047 Piso 2º Dpto A,Alberdi,1,1,,0,198000,57567577,5565922,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
57,casa,alquiler,Hector Paniza 2668,San Rafael,3,2,,0,494000,57567579,5565924,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
58,departamento,alquiler,Hector Paniza 2668 (Dpto Int),San Rafael,3,2,,0,370000,57567580,5565925,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
59,casa,alquiler,Ascochinga 39,Mendiolaza,4,3,,0,709000,57567581,5565926,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
60,departamento,alquiler,Hector Paniza 2800,San Rafael,5,2,"🏡 SALOMÓN INMOBILIARIA PRESENTA
✨ HERMOSA CASA EN ESQUINA – BARRIO SAN RAFAEL ✨

📍 Ubicación: Calle Héctor Paniza 2800 – Barrio San Rafael

Si buscás comodidad, buena ubicación y tranquilidad, ¡esta casa es para vos! 🙌

🔹 Características destacadas:
🏠 Casa en esquina, con excelente ventilación y luz natural
🛋️ Living comedor amplio y funcional
🍽️ Cocina separada, equipada con:
✔️ Mesada
✔️ Alacena
✔️ Artefacto de cocina
✔️ Campana extractora
🛏️ Dos dormitorios amplios, muy luminosos y con calefacción
🌿 Patio, ideal para disfrutar al aire libre
🚗 Garage

📌 Excelente entorno:
🌳 Cercano a plazas
🛣️ Rápido acceso a Ruta 20
🛒 Próximo a comercios y servicios

💰 Precio: $580.000
📈 Ajuste trimestral según IPC
💡 Impuestos bajos

📲 Consultá requisitos por WhatsApp
🔥 ¡No te la pierdas! Una oportunidad ideal para tu próximo hogar y vivir con tranquilidad 💙🏡",0,580000,57567582,5565927,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,"Opción 1) Una garantía propietaria + un recibo de sueldo superior a $1.000.000

Opción 2) Cuatro recibos de sueldo superiores a $1.000.000. Pueden ser menos recibos dependiendo los montos.

No se aceptan garantías compradas ni monotributos, pero si se aceptan jubilaciones.",
62,casa,alquiler,Esposos Curie 2045,Maipu II,4,3,,0,732000,57567584,5565929,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
63,departamento,alquiler,Esposos Curie 2045 Dpto,Maipu II,5,4,,0,530000,57567585,5565930,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
64,casa,alquiler,Vera y Aragon 211,Marques de Sobremonte,6,4,,0,712000,57567586,5565931,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
65,departamento,alquiler,Belardinelli Piso 5 Dto 3º 1503 T 1,Ejercito Argentino,1,1,,0,203000,57567587,5565932,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
